region,year,gy,gg,gdp,gdpsq,sc
1,2002,-0.18078807013205797,0.7767642403114671,-0.785017010920727,-0.33610233271254947,-0.4339142575018999
2,2002,0.06835450001460164,-0.2776619742218645,-0.8190038214283809,-0.33841895764388724,2.0491473474034714
3,2002,0.8469250317229122,1.003649882821357,-0.9239366890196629,-0.3430627677307926,-0.5403311834264156
4,2002,-1.2085011719870282,-0.04567380190069944,-0.8808215625924753,-0.3416133872208847,-1.5099076196275605
5,2002,0.37978271269792546,-0.15106672819991923,-0.8840787885829144,-0.34174522628953785,0.10999447500118158
6,2002,-0.7725016742303739,-0.31673251013009207,-0.7294702874476467,-0.33146025069326424,0.8903852651142984
7,2002,-0.647930389157044,-0.026884518725150207,-0.6048103133204163,-0.3171762779570612,1.4342939976173799
8,2002,-0.6167875678887124,-0.4641161963838654,-0.8853269767564255,-0.3417947800012713,0.07452216635967619
9,2002,-1.4265009208653547,-1.0623769780022168,-0.8550729820101418,-0.3404426601703115,-0.8477578583194617
10,2002,-0.3365021764737202,0.07238721602586391,-0.8941150486105893,-0.34212849227836034,0.9731539852778103
11,2002,-0.647930389157044,-0.3575777412874065,-0.6884765169749884,-0.32735329310606165,-0.28020092005537683
12,2002,1.625495563431223,-1.2704880843692745,-0.8946799289511619,-0.34214903343064235,4.071068939969273
13,2002,-0.36764499774205267,-0.1906807040867416,-0.7660093983959403,-0.33463337583225466,0.6302550017432592
14,2002,-0.8659301380353712,-1.4102350613988084,-0.8672334176945453,-0.34102400304351493,-0.4457383603824014
15,2002,0.8469250317229122,-0.31855548795633254,-0.43064106807895275,-0.2882623454968548,0.7366719276677749
16,2002,-0.8347873167670388,1.5972733490035562,-0.8685027536345503,-0.3410817513421909,0.16911498940369044
17,2002,1.2517817082112335,0.15936915630175136,-0.8771056650443002,-0.3414585237899284,0.8549129564727926
18,2002,-0.710216031693709,2.17216819063312,-0.8004238637371391,-0.3372017655943124,-0.2329045085333695
19,2002,-0.5856447466203799,1.8438866367493734,-0.7817851622500809,-0.33586134144067226,0.7366719276677749
20,2002,-0.8970729593037037,0.8574545325475824,-0.7808978959580668,-0.33579455113738166,1.3278770716928634
21,2002,-0.990501423108701,0.005671951734153112,-0.8616311393751075,-0.3407625029117745,-0.055542965325843
22,2002,-0.4299306402787176,-1.4722862336793836,-0.8905617538892348,-0.34199676296834036,-0.6112758007094264
23,2002,-1.052787065645366,1.2206490383263189,-0.6703166949114269,-0.3253490848967619,1.8244893926739378
24,2002,-0.6167875678887124,1.5034465552092218,-0.8319650525373563,-0.339197706463993,2.143740170447486
25,2002,-0.46107346154705003,0.6492694296382889,-0.7629594205171423,-0.33438608801226005,1.398821688975874
26,2002,-0.6167875678887124,-0.5798422295373564,-0.7087280881199873,-0.3294544858091552,1.446118100497881
27,2002,-0.21193089140039043,0.11420528496602035,-0.808369784534476,-0.33773685256677727,0.09817037212067965
28,2002,-1.1773583507186958,0.2807257746801305,-0.8058292328529998,-0.3375681323638998,-0.8241096525584579
29,2002,-1.1150727081820309,-0.11457347611683993,-0.8730669115943172,-0.34128481517250064,-0.35114553733838716
30,2002,-1.0839298869136984,0.4046136119143601,-0.8453229217556852,-0.3399397834504531,-0.031894759564839545
31,2002,-1.1150727081820309,-0.5013784967076367,-0.8185634779349398,-0.33839148492908533,-0.09101527396734838
32,2002,-0.6167875678887124,-1.0601103948365012,-0.7019410649265202,-0.3287660280378491,0.8194406478312877
33,2002,-1.3019296357920256,-0.3993255405795318,-0.8365536479161827,-0.3394595440821171,-0.9423506813634756
34,2002,-1.2707868145236931,-0.7332356955866961,-0.890093683324168,-0.34197908651793685,0.31100422396971156
35,2002,-0.3987878190103851,1.034451481004897,-0.7455369505786709,-0.33291211618048006,2.179212479088991
36,2002,-1.1773583507186958,-1.2753958466316453,-0.8322357439484792,-0.33921335399364483,0.14546678364268698
37,2002,-0.8970729593037037,0.9335306323712708,-0.779828288923838,-0.3357136746507497,0.5593103844602484
38,2002,-0.9593586018403686,-0.6589827652161827,-0.8443811412211535,-0.3398894765523525,0.8667370593532946
39,2002,-0.7413588529620414,0.2017493646761487,-0.8350502766936443,-0.339374555887155,-0.8595819611999633
40,2002,-0.3987878190103851,0.8895865929339082,-0.8625715100585396,-0.34080715148021806,0.07452216635967619
41,2002,-1.0839298869136984,-1.307224124183425,-0.8283008495294999,-0.3389834130186643,-0.38661784597989257
42,2002,-1.4576437421336872,2.15903973484991,-0.7334065917177256,-0.33182417252676555,0.2400596066867012
43,2002,-1.0216442443770335,-0.10895738570012194,-0.7271675306516359,-0.3312448821838497,-0.5285070805459137
44,2002,-0.647930389157044,2.9908617755646323,-0.43012694237796584,-0.28816153947025397,1.8126652897934359
45,2002,0.37978271269792546,1.7733623768018258,-0.11951042791589561,-0.21062643339027676,2.8295381375165882
46,2002,-1.333072457060358,-0.20844275664527145,-0.777650538925325,-0.3355477908041384,-0.35114553733838716
47,2002,-0.9593586018403686,1.618345568568116,-0.6417719096482231,-0.32196930784771066,0.06269806347917468
48,2002,-1.3642152783286905,-0.9416369070630435,-0.7729599643169608,-0.3351849554791009,-0.5994516978289245
49,2002,-0.8970729593037037,-1.0957762476271162,-0.7877309742874541,-0.3363019294569244,0.5238380758187434
50,2002,-0.9593586018403686,-0.6102026405664057,-0.7854700430740646,-0.336135826952669,0.5711344873407503
